Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","03/23/2021","2183","N372FR","LAS","22:03"
"F9","03/23/2021","2555","N310FR","TPA","07:44"
"F9","03/23/2021","2959","N363FR","MIA","11:24"
"F9","03/24/2021","0123","N332FR","SJU","10:47"
"F9","03/24/2021","1259","N342FR","MCO","07:03"
"F9","03/24/2021","1261","N705FR","MCO","12:29"
"F9","03/24/2021","2183","N351FR","LAS","22:07"
"F9","03/24/2021","2555","N375FR","TPA","07:52"
"F9","03/24/2021","2959","N365FR","MIA","19:58"
"F9","03/25/2021","0123","N329FR","SJU","09:27"
"F9","03/25/2021","1259","N233FR","MCO","06:56"
"F9","03/25/2021","1261","N718FR","MCO","12:27"
"F9","03/25/2021","2183","N235FR","LAS","21:55"
"F9","03/25/2021","2555","N312FR","TPA","07:52"
"F9","03/25/2021","2959","N330FR","MIA","12:31"
"F9","03/26/2021","0123","N352FR","SJU","09:16"
"F9","03/26/2021","1259","N311FR","MCO","07:09"
"F9","03/26/2021","1261","N717FR","MCO","12:50"
"F9","03/26/2021","2183","N313FR","LAS","22:02"
"F9","03/26/2021","2555","N331FR","TPA","08:00"
"F9","03/26/2021","2959","N318FR","MIA","19:52"
"F9","03/27/2021","0123","N233FR","SJU","09:22"
"F9","03/27/2021","1259","N303FR","MCO","06:55"
"F9","03/27/2021","1261","N706FR","MCO","13:14"
"F9","03/27/2021","2183","N309FR","LAS","23:16"
"F9","03/27/2021","2555","N350FR","TPA","07:52"
"F9","03/27/2021","2959","N342FR","MIA","20:27"
"F9","03/28/2021","0123","N362FR","SJU","09:28"
"F9","03/28/2021","1259","N367FR","MCO","06:57"
"F9","03/28/2021","1261","N718FR","MCO","12:34"
"F9","03/28/2021","2183","N304FR","LAS","22:03"
"F9","03/28/2021","2555","N227FR","TPA","08:41"
"F9","03/28/2021","2959","N301FR","MIA","12:08"
"F9","03/29/2021","0123","N316FR","SJU","10:55"
"F9","03/29/2021","1259","N373FR","MCO","06:56"
"F9","03/29/2021","1261","N716FR","MCO","12:18"
"F9","03/29/2021","2183","N220FR","LAS","21:54"
"F9","03/29/2021","2555","N311FR","TPA","08:07"
"F9","03/29/2021","2959","N354FR","MIA","19:49"
"F9","03/30/2021","0123","N351FR","SJU","09:24"
"F9","03/30/2021","1259","N337FR","MCO","06:50"
"F9","03/30/2021","1261","N722FR","MCO","12:15"
"F9","03/30/2021","2183","N365FR","LAS","21:51"
"F9","03/30/2021","2555","N364FR","TPA","07:49"
"F9","03/30/2021","2959","N313FR","MIA","11:20"
"F9","03/31/2021","0123","N363FR","SJU","09:18"
"F9","03/31/2021","1259","N304FR","MCO","06:58"
"F9","03/31/2021","1261","N718FR","MCO","13:53"
"F9","03/31/2021","2183","N323FR","LAS","22:06"
"F9","03/31/2021","2555","N316FR","TPA","07:51"
"F9","03/31/2021","2959","N210FR","MIA","20:44"
"F9","04/01/2021","0123","N363FR","SJU","09:22"
"F9","04/01/2021","1259","N206FR","MCO","06:52"
"F9","04/01/2021","1261","N710FR","MCO","12:13"
"F9","04/01/2021","2183","N366FR","LAS","22:11"
"F9","04/01/2021","2555","N365FR","TPA","07:50"
"F9","04/01/2021","2959","N318FR","MIA","11:16"
"F9","04/02/2021","0123","N351FR","SJU","10:21"
