Detailed Statistics Departures  
Origin Airport: Washington, DC: Washington Dulles International (IAD)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2017, 2018, 2019, 2021, 2022, 2023 and 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Actual departure time
"F9","03/08/2019","1086","N318FR","MCO","17:50"
"F9","03/09/2017","1747","N902FR","MCO","17:39"
"F9","03/09/2018","1149","N227FR","LAS","22:30"
"F9","03/09/2018","1517","N227FR","SAT","05:57"
"F9","03/09/2018","1623","N312FR","MCO","14:48"
"F9","03/09/2019","1086","N328FR","MCO","18:12"
"F9","03/09/2019","1841","N938FR","AUS","11:50"
"F9","03/09/2021","1087","N332FR","MCO","17:44"
"F9","03/10/2017","1747","N951FR","MCO","17:37"
"F9","03/10/2018","1149","N221FR","LAS","22:30"
"F9","03/10/2018","1517","N221FR","SAT","06:00"
"F9","03/10/2018","1623","N232FR","MCO","12:58"
"F9","03/10/2019","1086","N339FR","MCO","16:35"
"F9","03/10/2019","1087","N216FR","LAS","10:13"
"F9","03/10/2019","1841","N910FR","AUS","11:56"
"F9","03/11/2017","1747","N943FR","MCO","17:38"
"F9","03/11/2018","1149","N236FR","LAS","22:05"
"F9","03/11/2018","1623","N313FR","MCO","12:27"
"F9","03/11/2018","1923","N236FR","AUS","05:59"
"F9","03/11/2021","1087","N230FR","MCO","08:53"
"F9","03/12/2017","1747","N948FR","MCO","18:53"
"F9","03/12/2018","1149","N303FR","LAS","22:02"
"F9","03/12/2018","1517","N303FR","SAT","05:55"
"F9","03/12/2018","1623","N201FR","MCO","12:30"
"F9","03/12/2019","1086","N324FR","MCO","16:38"
"F9","03/12/2019","1087","N207FR","LAS","10:17"
"F9","03/12/2019","1841","N941FR","AUS","11:48"
"F9","03/13/2017","1747","N927FR","MCO","17:30"
"F9","03/13/2018","1149","N313FR","LAS","22:30"
"F9","03/13/2018","1623","N206FR","MCO","12:29"
"F9","03/13/2018","1923","N313FR","AUS","05:59"
"F9","03/13/2019","1841","N941FR","AUS","11:48"
"F9","03/14/2017","1747","N938FR","MCO","17:39"
"F9","03/14/2018","1149","N308FR","LAS","22:14"
"F9","03/14/2018","1517","N308FR","SAT","06:05"
"F9","03/14/2018","1623","N326FR","MCO","12:31"
"F9","03/14/2019","1086","N236FR","MCO","16:43"
"F9","03/14/2019","1087","N331FR","LAS","10:16"
"F9","03/14/2019","1841","N941FR","AUS","11:48"
