Date,Flight Count,Carrier Type,Year,Month,Week,Day,Day of Week
2018-04-24,489,Low-cost,2018,4,17,24,Tue
2018-04-25,491,Low-cost,2018,4,17,25,Wed
2018-04-26,521,Low-cost,2018,4,17,26,Thu
2018-04-27,518,Low-cost,2018,4,17,27,Fri
2018-04-28,431,Low-cost,2018,4,17,28,Sat
2018-04-29,503,Low-cost,2018,4,17,29,Sun
2018-04-30,517,Low-cost,2018,4,18,30,Mon
2018-05-01,489,Low-cost,2018,5,18,1,Tue
2018-05-02,490,Low-cost,2018,5,18,2,Wed
2018-05-03,522,Low-cost,2018,5,18,3,Thu
2018-05-04,519,Low-cost,2018,5,18,4,Fri
2018-05-05,431,Low-cost,2018,5,18,5,Sat
2018-05-06,504,Low-cost,2018,5,18,6,Sun
2018-05-07,518,Low-cost,2018,5,19,7,Mon
2018-05-08,489,Low-cost,2018,5,19,8,Tue
2018-05-09,489,Low-cost,2018,5,19,9,Wed
2018-05-10,523,Low-cost,2018,5,19,10,Thu
