Flight Count,Year,Month,Week,Day,Day of Week,Holiday
2702,2018,1,3,16,Tue,
2763,2018,1,3,17,Wed,
2852,2018,1,3,18,Thu,
2861,2018,1,3,19,Fri,
2170,2018,1,3,20,Sat,
2677,2018,1,3,21,Sun,
2852,2018,1,4,22,Mon,
2705,2018,1,4,23,Tue,
2762,2018,1,4,24,Wed,
2853,2018,1,4,25,Thu,
2860,2018,1,4,26,Fri,
2169,2018,1,4,27,Sat,
2677,2018,1,4,28,Sun,
2853,2018,1,5,29,Mon,
2704,2018,1,5,30,Tue,
2763,2018,1,5,31,Wed,
2856,2018,2,5,1,Thu,
2884,2018,2,5,2,Fri,
2151,2018,2,5,3,Sat,
2466,2018,2,5,4,Sun,
2871,2018,2,6,5,Mon,
2705,2018,2,6,6,Tue,
2765,2018,2,6,7,Wed,
2853,2018,2,6,8,Thu,
2866,2018,2,6,9,Fri,
2176,2018,2,6,10,Sat,
2678,2018,2,6,11,Sun,
2860,2018,2,7,12,Mon,
2704,2018,2,7,13,Tue,
2630,2018,2,7,14,Wed,
2971,2018,2,7,15,Thu,
2999,2018,2,7,16,Fri,
2329,2018,2,7,17,Sat,
2634,2018,2,7,18,Sun,
2974,2018,2,8,19,Mon,Washington's Birthday
2933,2018,2,8,20,Tue,
2952,2018,2,8,21,Wed,
2986,2018,2,8,22,Thu,
2991,2018,2,8,23,Fri,
2398,2018,2,8,24,Sat,
2838,2018,2,8,25,Sun,
2981,2018,2,9,26,Mon,
2933,2018,2,9,27,Tue,
2953,2018,2,9,28,Wed,
2984,2018,3,9,1,Thu,
3007,2018,3,9,2,Fri,
2399,2018,3,9,3,Sat,
2826,2018,3,9,4,Sun,
2988,2018,3,10,5,Mon,
2932,2018,3,10,6,Tue,
2959,2018,3,10,7,Wed,
3001,2018,3,10,8,Thu,
3029,2018,3,10,9,Fri,
2502,2018,3,10,10,Sat,
2915,2018,3,10,11,Sun,
3020,2018,3,11,12,Mon,
2963,2018,3,11,13,Tue,
2994,2018,3,11,14,Wed,
3037,2018,3,11,15,Thu,
3030,2018,3,11,16,Fri,
2508,2018,3,11,17,Sat,
2919,2018,3,11,18,Sun,
3021,2018,3,12,19,Mon,
2963,2018,3,12,20,Tue,
2993,2018,3,12,21,Wed,
3039,2018,3,12,22,Thu,
3033,2018,3,12,23,Fri,
2511,2018,3,12,24,Sat,
2915,2018,3,12,25,Sun,
3022,2018,3,13,26,Mon,
2962,2018,3,13,27,Tue,
2989,2018,3,13,28,Wed,
3030,2018,3,13,29,Thu,
3031,2018,3,13,30,Fri,
2467,2018,3,13,31,Sat,
2876,2018,4,13,1,Sun,
3011,2018,4,14,2,Mon,
2930,2018,4,14,3,Tue,
2971,2018,4,14,4,Wed,
3022,2018,4,14,5,Thu,
3012,2018,4,14,6,Fri,
2476,2018,4,14,7,Sat,
2929,2018,4,14,8,Sun,
3066,2018,4,15,9,Mon,
2957,2018,4,15,10,Tue,
3004,2018,4,15,11,Wed,
3103,2018,4,15,12,Thu,
3099,2018,4,15,13,Fri,
2513,2018,4,15,14,Sat,
2973,2018,4,15,15,Sun,
3100,2018,4,16,16,Mon,
2953,2018,4,16,17,Tue,
3007,2018,4,16,18,Wed,
3105,2018,4,16,19,Thu,
3098,2018,4,16,20,Fri,
2524,2018,4,16,21,Sat,
2987,2018,4,16,22,Sun,
3098,2018,4,17,23,Mon,
2961,2018,4,17,24,Tue,
3015,2018,4,17,25,Wed,
3101,2018,4,17,26,Thu,
3100,2018,4,17,27,Fri,
2563,2018,4,17,28,Sat,
3013,2018,4,17,29,Sun,
3096,2018,4,18,30,Mon,
2976,2018,5,18,1,Tue,
3026,2018,5,18,2,Wed,
3105,2018,5,18,3,Thu,
3132,2018,5,18,4,Fri,
2586,2018,5,18,5,Sat,
3061,2018,5,18,6,Sun,
3141,2018,5,19,7,Mon,
3043,2018,5,19,8,Tue,
3067,2018,5,19,9,Wed,
3147,2018,5,19,10,Thu,
3144,2018,5,19,11,Fri,
2541,2018,5,19,12,Sat,
3007,2018,5,19,13,Sun,
3146,2018,5,20,14,Mon,
3052,2018,5,20,15,Tue,
3076,2018,5,20,16,Wed,
3152,2018,5,20,17,Thu,
3147,2018,5,20,18,Fri,
2591,2018,5,20,19,Sat,
3067,2018,5,20,20,Sun,
3145,2018,5,21,21,Mon,
3054,2018,5,21,22,Tue,
3076,2018,5,21,23,Wed,
3160,2018,5,21,24,Thu,
3151,2018,5,21,25,Fri,
2530,2018,5,21,26,Sat,
2570,2018,5,21,27,Sun,
2957,2018,5,22,28,Mon,Memorial Day
3085,2018,5,22,29,Tue,
3101,2018,5,22,30,Wed,
3140,2018,5,22,31,Thu,
3144,2018,6,22,1,Fri,
2605,2018,6,22,2,Sat,
3070,2018,6,22,3,Sun,
3154,2018,6,23,4,Mon,
3084,2018,6,23,5,Tue,
3117,2018,6,23,6,Wed,
3261,2018,6,23,7,Thu,
3280,2018,6,23,8,Fri,
2784,2018,6,23,9,Sat,
3171,2018,6,23,10,Sun,
3293,2018,6,24,11,Mon,
3256,2018,6,24,12,Tue,
3262,2018,6,24,13,Wed,
3294,2018,6,24,14,Thu,
3292,2018,6,24,15,Fri,
2790,2018,6,24,16,Sat,
3180,2018,6,24,17,Sun,
3302,2018,6,25,18,Mon,
3263,2018,6,25,19,Tue,
3270,2018,6,25,20,Wed,
3304,2018,6,25,21,Thu,
3294,2018,6,25,22,Fri,
2790,2018,6,25,23,Sat,
3181,2018,6,25,24,Sun,
3303,2018,6,26,25,Mon,
3261,2018,6,26,26,Tue,
3270,2018,6,26,27,Wed,
3304,2018,6,26,28,Thu,
3301,2018,6,26,29,Fri,
2866,2018,6,26,30,Sat,
3039,2018,7,26,1,Sun,
2966,2018,7,27,2,Mon,
2753,2018,7,27,3,Tue,
2583,2018,7,27,4,Wed,Independence Day
2955,2018,7,27,5,Thu,
3092,2018,7,27,6,Fri,
2857,2018,7,27,7,Sat,
3208,2018,7,27,8,Sun,
3324,2018,7,28,9,Mon,
3296,2018,7,28,10,Tue,
3296,2018,7,28,11,Wed,
3331,2018,7,28,12,Thu,
3323,2018,7,28,13,Fri,
2808,2018,7,28,14,Sat,
3209,2018,7,28,15,Sun,
3329,2018,7,29,16,Mon,
3298,2018,7,29,17,Tue,
3302,2018,7,29,18,Wed,
3325,2018,7,29,19,Thu,
3319,2018,7,29,20,Fri,
2805,2018,7,29,21,Sat,
3205,2018,7,29,22,Sun,
