Date,Airline,Flight Count,Year
2017-09-24,Delta,6154,2017
2017-10-01,Delta,6151,2017
2017-10-08,Delta,6162,2017
2017-10-15,Delta,6183,2017
2017-10-22,Delta,6173,2017
2017-10-29,Delta,5957,2017
2017-11-05,Delta,5681,2017
2017-11-12,Delta,6097,2017
2017-11-19,Delta,6121,2017
2017-11-26,Delta,5632,2017
2017-12-03,Delta,5927,2017
2017-12-10,Delta,5921,2017
2017-12-17,Delta,5917,2017
2017-12-24,Delta,5567,2017
2017-12-31,Delta,5041,2017
2018-01-07,Delta,5093,2018
2018-01-14,Delta,5466,2018
2018-01-21,Delta,5678,2018
2018-01-28,Delta,5704,2018
2018-02-04,Delta,5535,2018
2018-02-11,Delta,5705,2018
2018-02-18,Delta,5521,2018
2018-02-25,Delta,5931,2018
2018-03-04,Delta,5959,2018
2018-03-11,Delta,6156,2018
2018-03-18,Delta,6155,2018
2018-03-25,Delta,6154,2018
2018-04-01,Delta,6159,2018
2018-04-08,Delta,6216,2018
2018-04-15,Delta,6252,2018
2018-04-22,Delta,6307,2018
2018-04-29,Delta,6306,2018
2018-05-06,Delta,6336,2018
2018-05-13,Delta,6291,2018
2018-05-20,Delta,6406,2018
2018-05-27,Delta,6126,2018
2018-06-03,Delta,6308,2018
2018-06-10,Delta,6486,2018
2018-06-17,Delta,6616,2018
2018-06-24,Delta,6639,2018
2018-07-01,Delta,6588,2018
2018-07-08,Delta,5767,2018
2018-07-15,Delta,6773,2018
2018-07-22,Delta,6780,2018
2018-07-29,Delta,6778,2018
2018-08-05,Delta,6789,2018
2018-08-12,Delta,6782,2018
2018-08-19,Delta,6596,2018
2018-08-26,Delta,6420,2018
2018-09-02,Delta,5999,2018
2018-09-09,Delta,5836,2018
2018-09-16,Delta,6422,2018
2018-09-23,Delta,6458,2018
2018-09-30,Delta,6453,2018
2018-10-07,Delta,6415,2018
2018-10-14,Delta,6404,2018
2018-10-21,Delta,6463,2018
2018-10-28,Delta,6299,2018
2018-11-04,Delta,5378,2018
2018-11-11,Delta,6075,2018
2018-11-18,Delta,6292,2018
2018-11-25,Delta,5732,2018
2018-12-02,Delta,6013,2018
2018-12-09,Delta,5982,2018
2018-12-16,Delta,5988,2018
2018-12-23,Delta,6049,2018
2018-12-30,Delta,5187,2018
2019-01-06,Delta,4807,2019
2019-01-13,Delta,5850,2019
2019-01-20,Delta,5639,2019
2019-01-27,Delta,5812,2019
2019-02-03,Delta,5655,2019
2019-02-10,Delta,5808,2019
2019-02-17,Delta,5623,2019
2019-02-24,Delta,5803,2019
2019-03-03,Delta,6055,2019
2019-03-10,Delta,6349,2019
2019-03-17,Delta,6368,2019
2019-03-24,Delta,6377,2019
2019-03-31,Delta,6390,2019
2019-04-07,Delta,6397,2019
2019-04-14,Delta,6428,2019
2019-04-21,Delta,6357,2019
2019-04-28,Delta,6428,2019
2019-05-05,Delta,6490,2019
2019-05-12,Delta,6453,2019
2019-05-19,Delta,6562,2019
2019-05-26,Delta,6302,2019
2019-06-02,Delta,6530,2019
2019-06-09,Delta,6654,2019
2019-06-16,Delta,6813,2019
2019-06-23,Delta,6853,2019
2019-06-30,Delta,6742,2019
2019-07-07,Delta,5637,2019
2019-07-14,Delta,6956,2019
2019-07-21,Delta,6993,2019
2019-07-28,Delta,6986,2019
2019-08-04,Delta,6983,2019
2019-08-11,Delta,6973,2019
2019-08-18,Delta,6748,2019
2019-08-25,Delta,6628,2019
2019-09-01,Delta,6202,2019
2019-09-08,Delta,5780,2019
2019-09-15,Delta,6488,2019
2019-09-22,Delta,6516,2019
2019-09-29,Delta,6515,2019
2019-10-06,Delta,6533,2019
2019-10-13,Delta,6545,2019
2019-10-20,Delta,6533,2019
2019-10-27,Delta,6436,2019
2019-11-03,Delta,5492,2019
2019-11-10,Delta,6318,2019
2019-11-17,Delta,6537,2019
2019-11-24,Delta,6463,2019
2019-12-01,Delta,5867,2019
2019-12-08,Delta,6295,2019
2019-12-15,Delta,6268,2019
2019-12-22,Delta,6415,2019
2019-12-29,Delta,5426,2019
2020-01-05,Delta,1456,2020
2020-01-12,Delta,0,2020
2020-01-19,Delta,0,2020
2020-01-26,Delta,0,2020
2020-02-02,Delta,0,2020
2020-02-09,Delta,0,2020
2020-02-16,Delta,0,2020
2020-02-23,Delta,0,2020
2020-03-01,Delta,0,2020
2020-03-08,Delta,0,2020
2020-03-15,Delta,0,2020
2020-03-22,Delta,0,2020
2020-03-29,Delta,0,2020
2020-04-05,Delta,0,2020
2020-04-12,Delta,0,2020
2020-04-19,Delta,0,2020
2020-04-26,Delta,0,2020
2020-05-03,Delta,0,2020
2020-05-10,Delta,0,2020
2020-05-17,Delta,0,2020
2020-05-24,Delta,0,2020
2020-05-31,Delta,0,2020
2020-06-07,Delta,0,2020
2020-06-14,Delta,0,2020
2020-06-21,Delta,0,2020
2020-06-28,Delta,0,2020
2020-07-05,Delta,0,2020
2020-07-12,Delta,0,2020
2020-07-19,Delta,0,2020
2020-07-26,Delta,0,2020
2020-08-02,Delta,0,2020
2020-08-09,Delta,0,2020
2020-08-16,Delta,0,2020
2020-08-23,Delta,0,2020
2020-08-30,Delta,0,2020
2020-09-06,Delta,0,2020
2020-09-13,Delta,0,2020
2020-09-20,Delta,0,2020
2020-09-27,Delta,0,2020
2020-10-04,Delta,0,2020
2020-10-11,Delta,0,2020
2020-10-18,Delta,0,2020
2020-10-25,Delta,0,2020
2020-11-01,Delta,0,2020
2020-11-08,Delta,0,2020
2020-11-15,Delta,0,2020
2020-11-22,Delta,0,2020
2020-11-29,Delta,0,2020
2020-12-06,Delta,0,2020
2020-12-13,Delta,0,2020
2020-12-20,Delta,0,2020
2020-12-27,Delta,0,2020
2021-01-03,Delta,1587,2021
2021-01-10,Delta,3669,2021
2021-01-17,Delta,3528,2021
2021-01-24,Delta,3612,2021
2021-01-31,Delta,3621,2021
2021-02-07,Delta,3602,2021
2021-02-14,Delta,3609,2021
2021-02-21,Delta,3700,2021
2021-02-28,Delta,3702,2021
2021-03-07,Delta,4112,2021
2021-03-14,Delta,4200,2021
2021-03-21,Delta,4217,2021
2021-03-28,Delta,4223,2021
2021-04-04,Delta,4203,2021
2021-04-11,Delta,4170,2021
2021-04-18,Delta,4327,2021
2021-04-25,Delta,4327,2021
2021-05-02,Delta,4300,2021
2021-05-09,Delta,4519,2021
2021-05-16,Delta,4635,2021
2021-05-23,Delta,4641,2021
2021-05-30,Delta,4591,2021
2021-06-06,Delta,4753,2021
2021-06-13,Delta,5106,2021
2021-06-20,Delta,5128,2021
2021-06-27,Delta,5136,2021
2021-07-04,Delta,5024,2021
2021-07-11,Delta,5198,2021
2021-07-18,Delta,5253,2021
2021-07-25,Delta,5290,2021
2021-08-01,Delta,5288,2021
2021-08-08,Delta,5290,2021
2021-08-15,Delta,5307,2021
2021-08-22,Delta,5284,2021
2021-08-29,Delta,5297,2021
2021-09-05,Delta,5172,2021
2021-09-12,Delta,4922,2021
2021-09-19,Delta,5325,2021
2021-09-26,Delta,5343,2021
2021-10-03,Delta,5323,2021
2021-10-10,Delta,5275,2021
2021-10-17,Delta,5243,2021
2021-10-24,Delta,5243,2021
2021-10-31,Delta,5088,2021
2021-11-07,Delta,5309,2021
2021-11-14,Delta,5588,2021
2021-11-21,Delta,5597,2021
2021-11-28,Delta,5232,2021
2021-12-05,Delta,5443,2021
2021-12-12,Delta,5262,2021
2021-12-19,Delta,5216,2021
2021-12-26,Delta,4697,2021
2022-01-02,Delta,4695,2022
2022-01-09,Delta,5017,2022
2022-01-16,Delta,4906,2022
2022-01-23,Delta,5121,2022
2022-01-30,Delta,5132,2022
2022-02-06,Delta,5115,2022
2022-02-13,Delta,4913,2022
2022-02-20,Delta,4910,2022
2022-02-27,Delta,5096,2022
2022-03-06,Delta,5104,2022
2022-03-13,Delta,5375,2022
2022-03-20,Delta,5460,2022
2022-03-27,Delta,5472,2022
2022-04-03,Delta,5475,2022
2022-04-10,Delta,5408,2022
2022-04-17,Delta,5383,2022
2022-04-24,Delta,5420,2022
2022-05-01,Delta,5414,2022
2022-05-08,Delta,5462,2022
2022-05-15,Delta,5562,2022
2022-05-22,Delta,5570,2022
2022-05-29,Delta,5476,2022
2022-06-05,Delta,5527,2022
2022-06-12,Delta,5604,2022
2022-06-19,Delta,5631,2022
2022-06-26,Delta,5706,2022
2022-07-03,Delta,5594,2022
2022-07-10,Delta,5266,2022
2022-07-17,Delta,5759,2022
2022-07-24,Delta,5756,2022
2022-07-31,Delta,5756,2022
2022-08-07,Delta,5703,2022
2022-08-14,Delta,5677,2022
2022-08-21,Delta,5501,2022
2022-08-28,Delta,5503,2022
2022-09-04,Delta,5351,2022
2022-09-11,Delta,5247,2022
2022-09-18,Delta,5721,2022
2022-09-25,Delta,5713,2022
2022-10-02,Delta,5689,2022
2022-10-09,Delta,5598,2022
2022-10-16,Delta,5558,2022
2022-10-23,Delta,5569,2022
2022-10-30,Delta,5427,2022
2022-11-06,Delta,5358,2022
2022-11-13,Delta,5621,2022
2022-11-20,Delta,5878,2022
2022-11-27,Delta,5476,2022
2022-12-04,Delta,5731,2022
2022-12-11,Delta,5703,2022
2022-12-18,Delta,5612,2022
2022-12-25,Delta,5030,2022
2023-01-01,Delta,4970,2023
2023-01-08,Delta,5085,2023
2023-01-15,Delta,5170,2023
2023-01-22,Delta,5488,2023
2023-01-29,Delta,5522,2023
2023-02-05,Delta,5464,2023
2023-02-12,Delta,5200,2023
2023-02-19,Delta,5125,2023
2023-02-26,Delta,5478,2023
2023-03-05,Delta,5469,2023
2023-03-12,Delta,5672,2023
2023-03-19,Delta,5824,2023
2023-03-26,Delta,5877,2023
2023-04-02,Delta,5861,2023
2023-04-09,Delta,5825,2023
2023-04-16,Delta,5842,2023
2023-04-23,Delta,5862,2023
2023-04-30,Delta,5894,2023
2023-05-07,Delta,5906,2023
2023-05-14,Delta,5993,2023
2023-05-21,Delta,6019,2023
2023-05-28,Delta,5837,2023
2023-06-04,Delta,6033,2023
2023-06-11,Delta,6159,2023
2023-06-18,Delta,6167,2023
2023-06-25,Delta,6177,2023
2023-07-02,Delta,6095,2023
2023-07-09,Delta,5690,2023
2023-07-16,Delta,6472,2023
2023-07-23,Delta,6478,2023
2023-07-30,Delta,6478,2023
2023-08-06,Delta,6282,2023
2023-08-13,Delta,6249,2023
2023-08-20,Delta,6203,2023
2023-08-27,Delta,6084,2023
2023-09-03,Delta,5862,2023
2023-09-10,Delta,5624,2023
2023-09-17,Delta,6056,2023
2023-09-24,Delta,6085,2023
2023-10-01,Delta,6073,2023
2023-10-08,Delta,6074,2023
2023-10-15,Delta,6066,2023
2023-10-22,Delta,6075,2023
2023-10-29,Delta,5849,2023
2023-11-05,Delta,5372,2023
2023-11-12,Delta,5987,2023
2023-11-19,Delta,6082,2023
2023-11-26,Delta,5667,2023
2023-12-03,Delta,5596,2023
2023-12-10,Delta,5827,2023
2023-12-17,Delta,5941,2023
2023-12-24,Delta,5516,2023
2023-12-31,Delta,5183,2023
2024-01-07,Delta,4873,2024
2024-01-14,Delta,4995,2024
2024-01-21,Delta,5443,2024
2024-01-28,Delta,5450,2024
